Year;Month;Pr;
1984;9;16,8;
1984;10;55,3;
1984;11;27,6;
1984;12;39,3;
1985;1;46,2;
1985;2;8,4;
1985;3;18,7;
1985;4;7,1;
1985;5;29;
1985;6;55,6;
1985;7;97,8;
1985;8;76,3;
1985;9;41,9;
1985;10;45,8;
1985;11;31,1;
1985;12;26,6;
1986;1;46,7;
1986;2;31,6;
1986;3;31,2;
1986;4;34,4;
1986;5;24,9;
1986;6;60,7;
1986;7;135,6;
1986;8;56,5;
1986;9;51,9;
1986;10;80;
1986;11;59,8;
1986;12;32,3;
1987;1;31;
1987;2;17,4;
1987;3;7,5;
1987;4;12,5;
1987;5;42,5;
1987;6;63,5;
1987;7;20,6;
1987;8;35,4;
1987;9;19,9;
1987;10;61,7;
1987;11;39,7;
1987;12;42,1;
1988;1;31,3;
1988;2;25,2;
1988;3;15,2;
1988;4;51,5;
1988;5;38,9;
1988;6;64,8;
1988;7;54,4;
1988;8;31,3;
1988;9;42,2;
1988;10;38,3;
1988;11;61,1;
1988;12;27,9;
1989;1;26,2;
1989;2;30,3;
1989;3;28,3;
1989;4;25,4;
1989;5;43,4;
1989;6;48,4;
1989;7;77,8;
1989;8;39,5;
1989;9;60,2;
1989;10;70,5;
1989;11;64,4;
1989;12;37,1;
1990;1;17,3;
1990;2;23,7;
1990;3;34,8;
1990;4;8,1;
1990;5;53,1;
1990;6;35;
1990;7;61,2;
1990;8;8,5;
1990;9;67,1;
1990;10;63,7;
1990;11;59,5;
1990;12;47,2;
1991;1;29,5;
1991;2;16,3;
1991;3;11,8;
1991;4;23,9;
1991;5;27,2;
1991;6;38,8;
1991;7;83;
1991;8;67,6;
1991;9;38,8;
1991;10;52,7;
1991;11;39,3;
1991;12;32,4;
1992;1;43,4;
1992;2;27,9;
1992;3;21,5;
1992;4;15,6;
1992;5;40;
1992;6;77,7;
1992;7;14,1;
1992;8;32,6;
1992;9;37,5;
1992;10;79;
1992;11;46,6;
1992;12;46,7;
1993;1;35;
1993;2;34,2;
1993;3;11,6;
1993;4;25,1;
1993;5;34,8;
1993;6;33,9;
1993;7;31,8;
1993;8;55,1;
1993;9;42,9;
1993;10;60,8;
1993;11;42,3;
1993;12;39,6;
1994;1;14,4;
1994;2;16,2;
1994;3;23,1;
1994;4;21,9;
1994;5;50,5;
1994;6;35,7;
1994;7;59,2;
1994;8;3,2;
1994;9;76,7;
1994;10;32,7;
1994;11;47;
1994;12;25,4;
1995;1;39,7;
1995;2;40,3;
1995;3;23,8;
1995;4;10,8;
1995;5;28,4;
1995;6;54,4;
1995;7;29,6;
1995;8;37;
1995;9;61;
1995;10;75,4;
1995;11;81,4;
1995;12;66,9;
1996;1;21,6;
1996;2;11,2;
1996;3;6,2;
1996;4;24,5;
1996;5;21,7;
1996;6;28,5;
1996;7;14,1;
1996;8;77,4;
1996;9;18;
1996;10;34,7;
1996;11;31,6;
1996;12;47,7;
1997;1;29,1;
1997;2;33,5;
1997;3;20,5;
1997;4;13,8;
1997;5;43,2;
1997;6;23,2;
1997;7;55,6;
1997;8;24,1;
1997;9;19,7;
1997;10;57,6;
1997;11;50;
1997;12;23,2;
1998;1;41,2;
1998;2;32,8;
1998;3;21,5;
1998;4;27,4;
1998;5;27,6;
1998;6;44,3;
1998;7;7,2;
1998;8;25,5;
1998;9;65;
1998;10;31,6;
1998;11;25,6;
1998;12;63,1;
1999;1;17,1;
1999;2;17,8;
1999;3;6,9;
1999;4;34,4;
1999;5;9,3;
1999;6;31,8;
1999;7;22;
1999;8;46,2;
1999;9;24,8;
1999;10;51,3;
1999;11;20,4;
1999;12;39;
2000;1;24,4;
2000;2;26,2;
2000;3;13,2;
2000;4;31,4;
2000;5;34;
2000;6;51,3;
2000;7;40,6;
2000;8;73,1;
2000;9;53,3;
2000;10;44,8;
2000;11;36,4;
2000;12;19,3;
2001;1;27;
2001;2;20,9;
2001;3;32,6;
2001;4;23,8;
2001;5;72,5;
2001;6;63,7;
2001;7;94,9;
2001;8;59,2;
2001;9;27,7;
2001;10;44,4;
2001;11;42,1;
2001;12;48;
2002;1;63,1;
2002;2;40,8;
2002;3;40,6;
2002;4;6;
2002;5;30,2;
2002;6;53;
2002;7;43,7;
2002;8;64,4;
2002;9;83,2;
2002;10;43,8;
2002;11;37,4;
2002;12;29,5;
2003;1;56,2;
2003;2;48,5;
2003;3;19;
2003;4;24,2;
2003;5;19,6;
2003;6;6,5;
2003;7;55,7;
2003;8;12,8;
2003;9;41,6;
2003;10;46,2;
2003;11;49,9;
2003;12;43,9;
2004;1;39,7;
2004;2;45;
2004;3;31,9;
2004;4;5,9;
2004;5;13,7;
2004;6;22,7;
2004;7;52;
2004;8;103,7;
2004;9;43,4;
2004;10;42,9;
2004;11;63,6;
2004;12;26,8;
2005;1;40,5;
2005;2;10;
2005;3;19,2;
2005;4;20,6;
2005;5;25;
2005;6;57,8;
2005;7;63,8;
2005;8;58,5;
2005;9;50,4;
2005;10;85,3;
2005;11;134,1;
2005;12;15,1;
2006;1;10,5;
2006;2;27,5;
2006;3;25,7;
2006;4;14,3;
2006;5;32,9;
2006;6;25,8;
2006;7;29;
2006;8;86,5;
2006;9;46,8;
2006;10;50,7;
2006;11;37,3;
2006;12;31,4;
2007;1;37,6;
2007;2;20,3;
2007;3;50,9;
2007;4;8,6;
2007;5;32,1;
2007;6;38,9;
2007;7;57,3;
2007;8;85,3;
2007;9;63,9;
2007;10;45,3;
2007;11;31,1;
2007;12;54,9;
2008;1;25,9;
2008;2;31,3;
2008;3;29;
2008;4;28,1;
2008;5;40,1;
2008;6;31,7;
2008;7;56,8;
2008;8;130,1;
2008;9;69,8;
2008;10;90,5;
2008;11;44,5;
2008;12;36,5;
2009;1;18,7;
2009;2;11,7;
2009;3;21,5;
2009;4;35;
2009;5;36,5;
2009;6;49,1;
2009;7;32,4;
2009;8;15,6;
2009;9;63,5;
2009;10;40,4;
2009;11;38,9;
2009;12;18,5;
2010;1;35,1;
2010;2;13,6;
2010;3;8,8;
2010;4;15,1;
2010;5;58;
2010;6;47,8;
2010;7;53,1;
2010;8;69,1;
2010;9;77;
2010;10;54,6;
2010;11;33,3;
2010;12;21,1;
2011;1;23,1;
2011;2;24,8;
2011;3;13,1;
2011;4;28,5;
2011;5;39,5;
2011;6;17,2;
2011;7;70,2;
2011;8;83,1;
2011;9;24,2;
2011;10;45,4;
2011;11;30,8;
2011;12;49,7;
2012;1;17,9;
2012;2;19,1;
2012;3;12;
2012;4;15,8;
2012;5;24,8;
2012;6;3,6;
2012;7;7,7;
2012;8;20,9;
2012;9;66,7;
2012;10;27,7;
2012;11;29,3;
2012;12;20,8;
2013;1;31,2;
2013;2;18;
2013;3;27,1;
2013;4;35,2;
2013;5;56,1;
2013;6;30,7;
2013;7;41,4;
2013;8;46,3;
2013;9;121,1;
2013;10;45,9;
2013;11;48,8;
2013;12;52,4;
2014;1;41,1;
2014;2;27;
2014;3;34;
2014;4;32;
2014;5;56,3;
2014;6;66,3;
2014;7;82,2;
2014;8;66,5;
2014;9;62,1;
2014;10;61,8;
2014;11;63,5;
2014;12;49,8;
2015;1;38,3;
2015;2;38;
2015;3;29,3;
2015;4;48,3;
